Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Aruba;ABW;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;405463417.12;487602457.75;596423607.11;695304363.03;764887117.19;872138715.08;958463184.36;1082979720.67;1245688268.16;1320474860.34;1379960893.85;1531944134.08;1665100558.66;1722798882.68;1873452513.97;1920111731.84;1941340782.12;2021229050.28;2228491620.11;2330726256.98;2424581005.59;2615083798.88;2745251396.65;2498882681.56;2390502793.30;2549720670.39;2534636871.51;2701675977.65;2765363128.49;2919553072.63;2965921787.71;3056424581.01;;
Afghanistan;AFG;GDP (current US$);NY.GDP.MKTP.CD;537777811.11;548888895.56;546666677.78;751111191.11;800000044.44;1006666637.78;1399999966.67;1673333417.78;1373333366.67;1408888922.22;1748886595.56;1831108971.11;1595555475.56;1733333264.44;2155555497.78;2366666615.56;2555555566.67;2953333417.78;3300000108.89;3697940409.61;3641723322.00;3478787909.09;;;;;;;;;;;;;;;;;;;;;4055179566.35;4515558808.11;5226778808.89;6209137624.77;6971285594.68;9747879531.86;10109225813.67;12439087076.77;15856574731.44;17804292964.10;20001598505.70;20561069558.22;20484885119.73;19907111418.99;18017749073.90;18869945677.96;18353881129.88;19291104007.83
Angola;AGO;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;5930503400.83;5550483035.91;5550483035.91;5784341596.36;6131475065.24;7553560459.10;7072063345.45;8083872012.47;8769250549.74;10201099039.57;11228764963.16;10603784541.20;8307810973.59;5768720421.61;4438321017.39;5538749259.95;7526446605.52;7648377412.83;6506229607.29;6152922942.98;9129594818.61;8936063723.20;15285594828.42;17812705294.33;23552052407.55;36970918699.25;52381006892.04;65266452081.39;88538611205.14;70307163678.24;83799496611.20;111789686464.44;128052853643.11;136709862831.19;145712200312.51;116193649124.15;101123851090.46;122123822333.59;101353230784.59;88815697793.30
Albania;ALB;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;1857338011.85;1897050133.42;2097326250.00;2080796250.00;2051236250.00;2253090000.00;2028553750.00;1099559027.78;652174990.84;1185315468.46;1880951520.40;2392764853.42;3199642579.97;2258515610.09;2545967253.24;3212119044.17;3480355188.60;3922099470.97;4348070165.19;5611492282.87;7184681398.57;8052075642.11;8896073938.31;10677321490.38;12881354103.84;12044223352.54;11926928505.52;12890765324.23;12319830252.48;12776217194.79;13228144008.34;11386846319.16;11861200797.47;13019693450.88;15147020535.39;15279183289.94
Andorra;AND;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;78619206.09;89409820.36;113408231.94;150820102.80;186558696.28;220127246.38;227281024.62;254020153.34;308008897.57;411578334.16;446416105.83;388958731.30;375895956.38;327861832.95;330070689.30;346737964.77;482000594.04;611316399.41;721425939.15;795449332.40;1029048481.88;1106928582.87;1210013651.88;1007025755.00;1017549124.33;1178738991.19;1223945356.63;1180597272.73;1211932397.82;1239876305.14;1429049198.45;1546926174.50;1755910032.00;2361726862.30;2894921778.00;3159905484.39;3456442102.62;3952600602.24;4085630584.44;3674409558.21;3449966856.69;3629203786.19;3188808942.57;3193704343.21;3271808157.30;2789870187.51;2896679211.87;3000180750.11;3218316013.23;3154057987.24
Arab World;ARB;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;25891606124.27;28429146975.46;32013340941.36;37045140366.84;44182128971.40;55922081751.90;105711125366.35;117103149355.73;145484738304.23;167530174445.32;183969539762.57;248970610830.71;337548607895.82;348013579325.70;326467614158.13;306718525880.77;311102902529.67;307935286171.30;294002304210.70;313464339247.53;308329777739.90;323313155352.57;447403057842.31;441363731387.29;472395612979.05;477750218753.60;488310840410.44;524626754650.83;579109082402.50;614123231689.68;592264356627.35;644527010683.07;735685319268.80;722917010350.55;726832740066.55;821089931822.72;965100949397.81;1186135399898.53;1406002045914.84;1639307043044.79;2080969850135.39;1795740921393.58;2103331412247.86;2494028778449.34;2773499064014.84;2856372458851.04;2894391168409.53;2534723688142.23;2469440154484.43;2516121177762.82;2771384097904.53;2817414584665.11
United Arab Emirates;ARE;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;14720672506.50;19213022691.05;24871775164.60;23775831783.43;31225463217.76;43598748449.05;49333424135.11;46622718605.28;42803323345.14;41807954235.90;40603650231.54;33943612094.80;36384908744.21;36275674203.21;41464995913.92;50701443748.30;51552165622.45;54239171887.77;55625170253.34;59305093979.84;65743666575.86;73571233996.19;78839008444.57;75674336283.19;84445473110.96;104337372362.15;103311640571.82;109816201497.62;124346358066.71;147824370319.95;180617467964.60;222116541865.21;257916133424.10;315474615738.60;253547358747.45;289787338325.39;350666031313.82;374590605854.32;390107556160.65;403137100068.07;358135057862.49;357045064669.84;385605506854.88;422215043584.97;421142267937.65
Argentina;ARG;GDP (current US$);NY.GDP.MKTP.CD;;;24450604877.61;18272123664.47;25605249381.76;28344705966.64;28630474727.90;24256667553.26;26436857247.50;31256284543.62;31584210365.54;33293199095.49;34733000536.29;52544000116.90;72436777342.46;52438647921.92;51169499890.77;56781000100.94;58082870156.26;69252328953.38;76961923741.95;78676842366.42;84307486836.72;103979106777.91;79092001998.03;88416668900.26;110934442762.69;111106191358.20;126206817196.09;76636898036.47;141352368714.69;189719984268.49;228788617201.70;236741715015.02;257440000000.00;258031750000.00;272149750000.00;292859000000.00;298948250000.00;283523000000.00;284203750000.00;268696750000.00;97724004251.86;127586973492.18;164657930452.79;198737095012.28;232557260817.31;287530508430.57;361558037110.42;332976484577.62;423627422092.49;530163281574.66;545982375701.13;552025140252.25;526319673731.64;594749285413.21;557531376217.97;643628665302.67;517626700412.72;445445177459.43
Armenia;ARM;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2256838858.43;2068526521.90;1272577456.13;1201313201.01;1315158670.28;1468317350.07;1596968913.28;1639492424.36;1893726437.26;1845482181.45;1911563665.39;2118467913.38;2376335048.40;2807061008.69;3576615240.42;4900469950.09;6384451606.14;9206301700.40;11662040713.88;8647936747.99;9260284937.80;10142111334.50;10619320048.59;11121465767.41;11609512939.75;10553337672.99;10546135160.03;11527458565.73;12457941907.03;13672802157.83
American Samoa;ASM;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;514000000.00;527000000.00;512000000.00;503000000.00;496000000.00;520000000.00;563000000.00;678000000.00;576000000.00;574000000.00;644000000.00;641000000.00;642000000.00;661000000.00;652000000.00;602000000.00;636000000.00;
