Country;Product;Flow;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Australia;Total;Total energy supply (ktoe);51615;53173;57057;58930;60379;61827;66296;66474;67984;69606;70080;73123;70011;72310;72884;74005;77473;79026;84031;86139;85125;86704;91195;91296;92513;98959;101283;103920;106187;108107;105749;109458;110743;112662;113485;117940;121171;125751;125931;126240;126969;125575;127387;126754;126583;126382;127620;128028;132430
Austria;Total;Total energy supply (ktoe);18816;19822;21477;20750;20122;21691;21173;21879;23698;23155;21928;21437;21503;22335;23086;23177;24049;24309;23919;24879;26486;25449;25741;25671;26816;28499;28292;28771;28709;28607;30228;30481;32134;32653;33604;33939;33265;33529;31862;33995;32957;32846;33334;32043;32758;33037;33772;32835;33104
Belgium;Total;Total energy supply (ktoe);39661;43449;45991;45127;42321;45384;45119;47493;49015;46768;43532;41477;40963;42726;44104;45701;46670;47241;47693;47887;50047;50651;49394;52459;53338;56142;56340;57348;57378;58053;57668;55773;58205;58396;58077;57373;56256;57975;55610;59821;55975;53498;55780;52618;52481;55596;55286;53199;55221
Canada;Total;Total energy supply (ktoe);141360;152504;159354;161717;165955;171044;176326;181212;190286;191962;187521;180184;179519;188705;193010;196325;202860;211289;217240;211279;210769;215726;222887;230791;233882;238526;241029;239829;246464;253657;250013;250759;263969;270578;273988;278155;277878;270944;260476;260776;266621;268737;274124;281355;282591;285413;294620;297583;302042
Chile;Total;Total energy supply (ktoe);8704;8839;8501;8440;7633;8082;8376;8675;9174;9479;9629;8830;9130;9605;9583;10013;10335;11698;13113;14010;14326;15492;15877;17070;18343;20317;22750;23557;25030;25170;24700;25570;25836;27514;28367;29526;30625;30332;29526;30852;33616;37202;38514;34768;35515;37819;38338;39063;40321
Czech Republic;Total;Total energy supply (ktoe);45384;45527;45159;41889;43674;44938;48021;45357;48404;46952;47049;47793;47970;48976;49247;50049;51505;50488;49090;49803;45226;44049;42668;41198;41749;43050;43382;41979;39171;41242;42307;42841;44723;45751;45250;46274;46195;45277;42587;45130;43500;43195;43225;41936;41998;41504;43328;43299;42536
Denmark;Total;Total energy supply (ktoe);18505;19261;18992;17606;17473;19000;19489;19879;20570;19135;17318;17515;16535;17142;19300;19579;19585;18684;17524;17360;19252;18421;18916;19577;19397;21949;20339;20010;19175;18647;19216;19016;20108;19460;18892;20283;19807;19301;18398;19492;17994;17270;17301;16282;16278;16656;16841;17024;16528
Estonia;Total;Total energy supply (ktoe);;;;;;;;;;;;;;;;;;;;9592;8918;6533;5439;5484;5172;5724;5613;5122;4814;4716;4922;4710;5207;5306;5214;5087;5693;5496;4872;5644;5634;5530;6103;5793;5468;5995;5709;6268;5207
Finland;Total;Total energy supply (ktoe);18169;19432;21033;20563;19703;21076;21403;22169;23650;24599;23686;23196;23423;23972;25834;26964;29399;27653;28563;28381;28793;27131;28460;30391;28920;31108;32263;32567;32460;32389;33234;34963;36867;37272;34392;37426;36857;35407;33448;36598;35195;33959;33436;34142;32414;33852;33443;33985;33895
France;Total;Total energy supply (ktoe);158574;167398;180140;174357;164966;176098;172821;184280;191989;191774;187310;182774;187540;194280;203821;206987;212144;211232;219931;223843;236595;232533;236387;227432;236883;250299;242633;249698;249289;251741;260353;260998;267595;271478;272658;268246;265308;266495;254968;262864;257995;257820;258750;248777;252613;247925;247550;246355;241401
